350
16 70
44 1 116057
2 17 60743
19 13 47939
23 18 124521
36 26 50685
1 36 101138
18 49 70409
46 49 77619
48 23 176070
12 34 68978
31 28 79136
31 40 73678
21 47 104260
25 23 19772
49 31 62672
36 38 91885
11 48 179928
48 14 200328
6 40 71528
19 25 41339
32 36 77597
40 26 81014
43 46 6734
27 30 163876
9 24 94347
27 1 142443
2 35 38348
17 10 9418
18 25 104749
10 6 84606
40 23 81728
41 44 103602
24 17 93604
39 43 44546
4 13 104009
23 10 68650
12 13 61510
35 5 131429
2 21 100942
31 13 93897
8 28 106542
8 13 76152
7 13 72252
25 29 67683
39 28 49303
29 47 107726
9 8 93475
20 45 75184
50 12 119745
2 31 9275
43 34 47128
23 17 78068
41 1 141016
39 35 117447
45 11 114916
10 29 69176
49 44 54108
35 40 102751
44 28 47644
4 48 158076
47 22 132442
22 5 66997
18 41 138206
9 13 105862
35 46 127855
34 24 31831
24 19 67605
12 44 15348
46 27 115411
50 38 118028
28 40 99752
12 43 76212
28 12 62992
24 8 95818
34 36 82618
36 17 26669
15 6 107851
21 34 71111
10 43 100459
15 28 55142
45 5 69790
5 15 86684
33 43 128379
5 48 99764
40 4 71430
20 8 73191
50 8 114864
17 32 102062
50 28 138129
8 23 89324
6 2 83833
8 15 51400
33 5 148261
9 21 52804
27 14 193235
32 15 97579
38 5 51643
3 33 132017
41 27 175521
20 42 120539
46 24 85693
11 20 105888
1 45 60646
20 13 118518
36 15 56844
50 23 68826
48 8 173403
18 2 120354
25 50 88598
37 14 131916
39 30 118136
19 3 46230
31 48 191746
24 18 78483
16 38 129686
10 5 99241
4 32 57502
45 39 55808
24 11 47166
6 38 79327
19 47 117464
7 40 39673
5 3 109727
3 20 118613
21 22 82548
40 21 58312
11 33 51049
47 5 102420
35 7 63078
5 21 100910
42 27 117374
14 8 129959
39 23 90288
17 9 95610
48 47 177496
8 31 132905
46 47 126272
10 22 91990
48 40 178217
10 27 173628
27 34 61549
6 33 120577
28 7 94591
38 34 67261
16 36 85815
4 44 100667
42 4 113342
23 34 77869
10 4 77188
40 13 111925
47 42 116191
27 16 217284
13 30 101854
31 42 94740
15 27 93769
15 9 87429
3 10 86113
29 42 109893
12 15 36758
25 32 115731
28 42 133820
10 34 112079
32 45 68980
7 16 95159
23 14 145893
23 35 145871
2 45 104509
28 1 149789
14 39 111243
29 12 26075
37 27 137511
7 22 101698
33 30 137197
16 28 113364
20 2 116911
45 49 82147
48 42 173435
25 16 168442
38 23 119339
3 35 133621
44 35 131988
41 39 99080
18 42 102477
31 50 110114
29 32 107855
6 39 13702
31 15 81505
18 34 46652
17 44 67867
24 37 50660
10 19 103046
46 31 107644
44 13 46162
46 44 98306
20 24 80397
2 42 85465
5 9 48106
7 19 70687
19 15 23187
36 42 90929
32 19 74392
2 4 56487
29 2 77000
49 16 144676
35 8 123050
45 25 84565
39 7 76108
33 9 140999
11 10 55856
49 13 31225
17 39 88890
16 20 86929
31 43 100910
37 42 90802
30 42 110638
35 32 76871
17 45 85365
34 19 55407
30 11 86148
7 34 73274
39 5 13982
24 35 99819
7 38 82541
27 3 116812
36 19 80031
27 44 115179
27 18 108201
3 38 58084
12 37 6984
26 17 77354
28 45 105111
31 18 129629
44 18 85346
21 27 132660
38 19 58228
27 11 124398
4 30 107480
5 12 98777
35 50 157737
29 9 76746
32 28 89879
32 50 139231
21 31 110217
27 33 175447
9 12 50671
31 24 70746
1 9 105119
48 22 99305
40 14 161692
1 19 71460
1 47 134924
9 22 47266
27 25 119646
27 5 160662
11 3 80968
6 12 71093
19 11 81112
11 4 42182
50 34 65703
14 18 178338
34 9 98394
14 33 168545
8 38 86441
19 5 109871
6 45 42106
26 13 101233
37 2 105793
31 5 120792
3 28 75308
26 23 93289
26 42 102076
50 48 168377
46 45 17996
21 19 62078
6 35 103745
15 45 90610
3 34 55263
4 35 94835
28 43 93849
12 35 141423
24 29 69751
47 16 150615
36 43 93063
13 35 122970
31 9 113552
19 39 114968
41 37 125960
26 20 136804
10 32 111480
50 26 84625
39 4 44330
4 23 85782
6 20 33078
43 42 102953
29 5 108665
22 1 57853
46 15 86082
30 37 52246
5 46 51794
39 21 86928
47 12 102134
18 6 124624
13 24 39299
12 4 101721
13 22 63065
23 37 96698
16 40 116144
35 27 177051
16 46 101873
48 41 198558
40 38 122214
14 12 124932
49 28 101752
38 1 129688
38 9 99749
43 44 91560
46 9 44532
49 4 81274
7 15 47500
39 1 110868
33 48 219215
25 49 34340
46 21 80813
14 15 117082
13 3 47795
1 50 15191
7 50 106985
12 36 69001
37 7 81063
37 43 78930
21 10 45234
42 8 132713
33 10 106905
50 6 112357
45 22 2793
34 4 105031
1 35 142546
10 16 121902
22 35 140064
33 13 121366
23 16 154349
28 10 106093
17 3 95531
18 45 105042
39 27 153223
43 24 78959
41 16 156707
39 11 84105
40 25 101500
25 31 97012
15 20 95570
18 32 151498
30 45 84852
5 20 8886
4 27 166580
38 28 90183
21 28 65125
24 44 59024
26 21 72082
10 18
8 9 162602
3 2 472111
7 8 361966
6 4 322456
1 6 604832
3 4 632144
10 7 301008
5 6 199756
10 6 367605
2 5 37333
2 10 205182
8 4 425031
10 8 362518
3 8 236054
1 8 599745
6 3 338629
7 9 199364
4 2 160033
26 274
12 16 127512
9 1 229617
23 25 53360
26 17 105781
4 9 235962
18 6 233153
26 23 88819
20 3 139026
8 4 16426
3 10 205427
23 7 50042
2 1 194463
8 7 147777
21 4 203738
18 12 54399
10 23 155381
6 13 248330
24 26 184073
17 3 136400
21 6 310955
18 5 136560
16 17 166252
3 19 80848
25 24 196780
16 14 148535
20 19 58178
4 24 58647
26 11 144878
16 3 204466
11 19 170830
1 11 197747
21 24 180441
5 24 236193
24 20 127395
12 14 51715
1 5 30963
17 6 191700
26 9 139924
8 21 220164
26 21 149806
14 10 104512
24 12 179902
25 1 131788
11 18 191795
4 11 52304
22 20 112424
5 10 176976
17 14 103373
20 4 68748
19 12 3894
1 15 187555
1 7 128470
1 12 139907
24 13 207429
21 20 157755
21 5 208536
9 25 97829
2 25 165387
10 16 248197
22 18 81847
7 4 136601
5 17 147298
23 6 188494
10 18 173298
14 13 88030
16 25 115484
17 8 122534
6 10 194951
17 4 107248
11 2 246091
6 19 211378
5 22 140301
19 13 63113
10 1 146013
11 14 156246
19 7 11452
16 1 197567
1 4 146583
8 20 84034
23 16 120341
17 22 109798
20 16 181796
1 17 116335
19 24 183796
23 12 34696
9 14 130880
21 13 162690
21 9 212176
17 7 67004
22 11 202172
9 20 170777
3 1 216861
19 18 50505
25 14 33051
22 6 243530
9 15 276934
17 2 216038
22 3 135094
15 4 40972
2 4 193787
16 8 259943
12 3 84742
11 15 93276
5 25 100825
17 18 106057
25 12 18664
19 23 38590
2 24 170490
7 11 159378
24 17 165895
9 13 152808
4 19 125149
26 3 131077
2 13 179119
18 24 232515
26 7 38777
7 25 3318
22 12 58140
8 23 171237
19 8 140435
1 13 137062
21 22 153823
12 9 116493
16 6 308835
7 3 92300
21 17 155129
2 12 156592
11 25 156060
23 5 147549
22 2 119275
16 21 223195
19 17 55552
3 24 199170
5 4 177546
7 14 36369
26 20 108407
5 26 136284
23 1 174603
17 12 59446
22 14 79163
12 20 62072
25 15 179105
18 2 201122
12 10 120685
22 23 92836
24 1 205230
26 14 31533
15 20 109720
14 3 128669
9 23 151189
17 11 146357
26 2 176113
21 1 235590
18 9 133564
24 14 163729
19 16 123618
10 9 235392
3 18 131353
1 22 171264
16 2 239624
10 13 187692
5 15 218518
12 7 15346
15 16 238065
15 21 162766
6 3 292226
11 13 211039
25 13 54979
13 17 118665
22 13 94455
10 24 59217
3 2 241334
20 14 105999
5 7 97507
23 17 94142
26 1 167247
1 8 161869
18 13 90714
3 25 95618
5 20 108798
26 4 125426
7 18 39053
25 10 137563
5 14 133876
4 13 188262
4 16 248767
15 17 148220
24 9 294609
9 5 198654
15 24 17675
25 22 46112
10 7 136031
19 26 50229
5 6 261998
18 25 35735
22 24 154778
16 7 112166
21 12 103471
7 6 200736
8 12 136541
9 19 112599
5 11 228710
22 4 178075
7 9 101147
6 20 153200
23 3 119438
22 9 143941
11 10 51734
23 13 59836
15 8 57398
15 7 177573
18 21 150082
6 26 195900
16 9 213313
23 4 155951
21 10 204308
11 20 119912
21 23 138167
11 21 223371
5 19 108959
23 11 207115
6 11 214973
10 22 178645
5 8 192832
24 23 147593
23 20 96768
20 18 108683
12 15 162227
11 8 35878
8 9 248924
5 2 163500
18 8 186830
18 4 173868
11 3 204642
9 6 295247
1 19 136013
7 22 42794
19 15 166121
16 13 60505
19 2 160486
26 16 150943
21 19 99577
13 8 199438
12 6 215272
12 4 121255
9 2 149157
13 15 225104
3 15 181495
1 14 164839
14 19 47821
12 26 54123
7 2 162069
11 12 172419
20 13 121291
20 7 69630
16 22 154960
20 17 38500
18 23 89095
5 3 189807
20 1 77835
12 13 67007
15 22 137103
4 6 195521
15 2 152815
8 6 179095
11 24 110951
20 2 218664
17 10 106678
14 8 120368
22 26 81571
22 8 190571
3 9 193447
1 18 167523
26 8 109000
14 65
3 7 265062
11 5 93966
2 1 163265
14 9 238664
12 4 306377
2 14 38762
3 10 322455
14 12 168314
2 4 205074
11 3 241116
2 10 316889
5 9 161123
2 8 470426
6 7 298006
13 1 23164
13 9 137325
9 8 272015
7 1 142437
5 14 125137
5 1 46962
3 5 147150
12 13 266685
11 10 215342
1 12 289849
11 8 260157
14 7 220612
12 6 326628
11 7 49105
4 3 210640
13 8 330325
1 6 342252
13 10 285510
12 7 360799
11 4 103527
2 5 163899
6 8 453759
12 2 207076
8 14 431664
3 6 335506
5 10 309308
6 9 181744
9 4 170684
1 8 353489
7 9 116262
1 4 196859
5 7 143071
3 1 194112
1 9 160489
5 6 342867
3 13 170948
12 5 242887
1 11 93332
1 10 308674
2 9 277426
4 5 197493
13 5 23798
11 13 70191
5 8 354123
3 12 95737
11 6 248901
6 10 310115
8 12 389377
7 4 54422
13 2 140101
2 11 210269
28 78
28 2 231060
4 7 219456
9 28 252311
6 24 137354
15 28 233548
13 28 78921
6 22 177922
6 3 322453
16 15 30273
15 12 182075
24 5 145102
25 12 244242
22 1 191306
16 24 18290
21 3 317672
27 9 295485
12 9 200838
28 21 354138
9 21 321745
9 4 216302
12 16 188382
22 14 55479
2 25 102587
26 4 129589
25 23 107171
5 21 277675
27 26 306759
6 10 323340
12 17 81430
27 14 250732
25 16 111382
9 17 282268
11 27 178122
19 24 301140
8 12 202105
18 2 68738
2 13 152139
2 24 9495
23 5 159181
26 3 133151
7 6 279169
28 8 253578
12 19 471232
1 9 37590
27 5 399913
15 23 26062
1 25 223395
4 18 108726
1 11 154953
7 26 89867
3 22 214196
19 10 452440
8 22 72581
19 13 443784
19 21 168567
19 1 355494
26 24 80106
11 14 175618
25 8 125105
4 25 142575
8 14 27934
27 6 364007
5 12 181122
6 14 133275
19 4 350623
17 7 218891
14 20 96947
28 10 122263
1 8 197822
27 23 240732
21 2 123078
23 9 217478
12 10 70790
8 15 43996
19 5 446242
17 27 294726
2 17 261017
14 23 10000
2 1
2 1 1000000
50 589
5 40 89419
46 23 128690
8 15 129544
35 7 104659
35 24 174627
49 44 76502
35 45 114857
3 23 103210
40 38 109667
9 28 146906
32 36 158024
47 10 152391
4 27 95500
40 2 88862
11 7 127277
8 46 165868
24 44 133277
6 28 154864
1 32 256869
40 1 129644
40 22 100907
43 39 113051
47 26 26603
46 15 121000
2 1 90050
22 19 59255
21 24 149489
49 20 82866
48 14 116950
48 44 37039
15 26 134762
12 27 82050
1 34 173990
50 44 78731
8 6 135800
46 1 53649
16 13 131107
21 49 66275
10 37 190754
40 15 131945
34 24 116579
32 42 178299
49 43 127369
39 38 134771
17 32 241434
16 1 170374
43 34 137593
25 19 128141
3 35 124965
26 44 39897
40 50 78333
21 30 112406
11 19 173578
2 35 85534
24 38 58163
22 47 79499
31 6 192817
36 25 15966
2 27 138904
37 9 116928
2 18 113900
39 2 113966
32 35 175541
7 42 105368
17 15 155566
36 7 85093
1 23 132761
5 41 139891
5 21 71078
42 47 21464
40 8 143539
14 29 116887
50 15 123338
8 31 249976
9 36 136547
41 48 95625
12 2 90236
39 14 96901
18 31 170348
39 45 125718
22 24 121846
13 5 6414
34 41 128617
8 47 122131
17 47 113565
18 4 48748
6 47 64972
28 1 183609
32 21 162280
29 43 128174
45 23 93358
50 19 167911
13 45 151253
22 3 134930
8 43 106735
22 16 136181
19 8 233117
1 5 111310
21 35 41096
42 41 93344
8 36 120942
1 37 155111
42 15 138135
36 13 73236
31 23 192268
21 25 20222
6 46 125693
26 40 2817
25 47 14777
42 31 149309
7 30 93763
44 7 70610
20 6 84630
31 29 202520
34 37 111795
10 46 148251
10 36 151202
26 42 45689
22 26 103724
38 50 132683
37 12 101171
44 13 87719
19 28 153588
16 21 62127
27 8 241790
47 33 106158
14 15 98945
15 2 107038
35 38 116464
46 11 8005
23 11 136695
18 42 100343
11 41 142984
39 22 126011
28 12 77642
24 50 159223
29 50 105396
10 25 164103
13 29 136060
24 28 163484
41 16 130940
44 35 51323
45 41 133591
17 8 87207
12 16 119490
35 31 165874
47 24 148949
48 29 144426
36 15 117860
23 30 68235
24 40 167830
25 8 136908
4 44 75270
17 49 156900
38 34 99905
11 4 122617
21 4 94009
19 33 170050
10 33 196976
15 24 35885
48 2 88821
19 9 200148
33 28 171746
25 39 63667
16 29 179741
33 18 187415
17 46 174286
14 36 94394
7 23 75328
50 27 171411
50 11 10343
45 29 103610
9 21 140803
41 8 126514
23 41 136838
10 44 165685
15 18 60330
19 2 132800
32 8 199862
7 31 126260
11 6 133698
23 6 127552
30 28 51674
39 8 168643
42 19 132450
30 27 142500
18 44 94551
41 32 202127
35 34 109083
50 31 147306
49 47 63208
48 33 127525
20 47 22036
7 2 135648
37 16 97423
13 6 137019
34 42 92518
49 40 84616
30 22 77141
26 11 86817
38 6 142140
40 27 149427
13 31 198095
47 12 62808
49 5 128841
5 27 139805
23 25 126136
1 24 160956
32 13 139145
20 40 43444
20 37 60399
29 44 136353
14 12 37430
14 3 150552
38 13 95840
19 49 75546
43 38 87954
45 16 103997
31 32 287058
2 3 154390
39 40 25104
40 41 95666
23 26 127072
4 8 178224
3 50 152373
6 21 68039
33 2 173612
19 43 177525
8 24 165429
46 32 203220
22 15 85961
14 45 53828
29 15 17942
34 25 88209
23 21 105914
37 39 87253
8 30 165252
20 27 127227
12 19 75946
23 43 102542
16 5 124693
20 2 87112
20 1 136406
42 8 141217
14 47 95583
18 17 132016
28 8 182444
49 31 191053
12 43 126969
13 43 7886
41 10 113425
38 47 96771
48 17 134932
4 19 201928
44 14 108877
27 49 81650
27 10 20822
32 7 214151
44 11 84398
49 23 77360
12 18 127333
21 12 65875
31 30 165112
2 32 224289
10 3 147053
6 1 179342
14 50 103644
38 44 110065
45 36 78017
4 40 112350
42 4 110028
5 33 171791
4 49 132648
11 43 51128
17 35 149216
4 35 99999
43 10 159155
47 1 116748
34 12 10624
30 17 133211
50 48 86804
18 6 139545
18 16 134043
14 9 106694
34 39 119944
49 11 131934
48 47 21367
24 11 164890
36 12 61619
48 21 26812
39 47 48890
26 24 170647
24 4 98863
44 34 86726
28 7 145437
34 9 134826
22 36 78310
20 11 90762
49 28 78042
31 17 214188
22 37 117862
25 3 104091
4 32 218520
9 32 218228
33 39 155048
6 10 122711
16 20 78718
18 35 116908
13 33 178205
19 21 107919
35 15 138742
29 10 190084
37 4 100339
20 9 147635
14 27 119480
21 34 76499
40 45 100614
9 3 124604
37 25 55518
47 19 113364
7 14 116783
47 41 74258
26 17 114543
3 43 153475
38 23 14588
10 22 86181
42 40 42872
3 18 155850
25 2 82231
26 3 113539
6 7 95457
16 49 119890
30 45 76848
10 20 148049
37 19 151727
20 33 128194
24 5 147589
9 44 141997
9 16 194418
42 17 132651
22 44 92793
5 23 104014
14 8 142232
18 36 80068
10 34 113496
11 42 90190
31 27 217100
25 49 77985
49 48 84575
22 18 144024
19 45 91544
48 10 173758
14 30 23020
43 36 65350
30 12 60450
4 17 92588
29 34 98636
38 32 197881
7 13 84035
28 45 94040
18 38 38052
34 16 130114
1 43 112782
46 33 169257
48 4 112309
40 47 23786
45 50 142265
48 30 130706
12 29 88012
13 9 79083
27 19 124614
29 1 143013
20 21 25103
11 35 79638
28 34 88266
49 3 150144
24 27 187205
2 29 124980
28 21 130350
18 47 81257
25 9 150135
31 44 143517
27 46 169073
30 16 166021
45 20 98864
26 34 97657
26 27 152244
7 47 86282
19 35 149015
44 36 14483
24 17 132570
4 9 142686
46 34 134153
35 14 131234
27 28 159692
8 9 35538
38 9 159151
27 39 174531
20 36 20847
22 7 153599
33 21 111603
17 6 48593
8 12 159740
23 27 159010
46 47 63099
20 38 97273
22 28 94333
